;titulo;data_lancamento;nota_media;numero_votos;popularidade;lingua_original;descricao
1;Como Treinar o Seu Dragão;06/06/2025;8.147;1128;10.802.642;en;Filho cheio de imaginação, mas negligenciado, do Chefe Stoico, Soluço desafia séculos de tradição quando faz amizade com Banguela, um temido dragão Fúria da Noite. Seu vínculo improvável revela a verdadeira natureza dos dragões, desafiando os próprios fundamentos da sociedade viking. Com a feroz e ambiciosa Astrid e o peculiar ferreiro Bocão Bonarroto ao seu lado, Soluço confronta um mundo dilacerado pelo medo e por mal-entendidos. Quando uma antiga ameaça reaparece, colocando em perigo tanto os vikings quanto os dragões, a amizade de Soluço e Banguela se torna a chave para forjar um novo futuro. Juntos, eles devem trilhar o delicado caminho em direção à paz, ultrapassando os limites de seus mundos e redefinindo o que significa ser herói e líder.
2;M3GAN 2.0;25/06/2025;7.711;435;7.939.998;en;Uma arma robótica de nível militar conhecida como Amelia torna-se cada vez mais autoconsciente e perigosa para a raça humana. Na esperança de detê-la, Gemma decide ressuscitar M3GAN, tornando-a mais rápida, forte e letal.
3;Lilo & Stitch;17/05/2025;7.232;956;5.294.998;en;Stitch, um alienígena, chega ao planeta Terra após fugir de sua prisão e tenta se passar por um cachorro para se camuflar. As coisas mudam quando Lilo, uma travessa menina, o adota de um abrigo de animais. Juntos, eles aprendem os valores da amizade e família.
4;Um Homem sem Passado;13/01/2025;6.981;26;4.930.035;en;Ao acordar em uma cidade estranha, um homem sem memória (Adam Woodward) busca a verdade sobre seu passado, apenas para ser levado diretamente a um confronto letal com um poderoso inimigo (o vencedor do Oscar® Jon Voight) que selará seu destino e revelará sua verdadeira identidade.
5;Demon Slayer: Kimetsu no Yaiba Castelo Infinito;18/07/2025;7.1;14;4.669.849;ja;O Corpo de Caçadores de Demônios confronta os Doze Kizuki restantes antes de enfrentar Muzan na Fortaleza Infinita para derrotá-lo de uma vez por todas.
6;Superman;09/07/2025;7.5;1074;3.668.772;en;Superman, um jovem repórter de Metrópolis, embarca em uma jornada para reconciliar sua herança kryptoniana com sua criação humana como Clark Kent.
7;Karatê Kid: Lendas;08/05/2025;7.243;513;3.628.183;en;Após uma tragédia familiar, o prodígio do kung fu Li Fong é forçado a deixar sua casa em Pequim e se mudar para Nova York com sua mãe. Li luta para deixar o passado para trás enquanto tenta se enturmar com seus novos colegas de classe, e, embora não queira brigar, os problemas parecem encontrá-lo por toda parte. Quando um novo amigo precisa de sua ajuda, Li entra em uma competição de karatê – mas suas habilidades sozinhas não são suficientes. O professor de kung fu de Li, Sr. Han, recruta o lendário Karatê Kid original, Daniel LaRusso, para ajudá-lo, e Li aprende uma nova forma de lutar, combinando seus dois estilos em um confronto épico de artes marciais.
8;Missão Resgate 2: Vingança;27/06/2025;7.008;132;3.122.938;en;Mike viaja ao Nepal para espalhar as cinzas de seu falecido irmão no Monte Everest. Quando Mike e sua guia de montanha encontram mercenários em um ônibus turístico, eles são forçados a lutar para salvar a si mesmos, aos passageiros e à terra natal dos moradores locais.
9;Bailarina - Do Universo de John Wick;04/06/2025;7.5;1110;2.879.159;en;Bailarina  se passa durante os eventos de ‘John Wick 3: Parabellum‘ e acompanha Eve Macarro (Ana de Armas), que está começando seu treinamento nas tradições da organização Ruska Roma para se tornar uma assassina que buscará vingança contra aqueles que destruíram sua família.  O longa ainda conta com Anjelica Huston, Gabriel Byrne, Lance Reddick, Catalina Sandino Moreno e Norman Reedus no elenco, com participações de Ian McShane e Keanu Reeves.
10;Bride Hard;19/06/2025;5.795;22;2.748.774;en;Durante um casamento luxuoso, mercenários fazem todos de reféns, mas não contavam com uma dama de honra que é agente secreta e fará de tudo para proteger a cerimônia de sua melhor amiga.
